set_name,start1,end1,player1_name,player1_skin,player2_name,player2_skin,video_title
Winners Round 1,00:05:05,00:15:40,HPIPI iAmako,joker,TBG Pom,corrin,HPIPI iAmako (joker) vs TBG Pom (corrin) - Winners Round 1 - Biscuit Crown #11
Winners Round 2,00:21:10,00:26:55,Palirex,ike,D.O.L,bowser,Palirex (ike) vs D.O.L (bowser) - Winners Round 2 - Biscuit Crown #11
Losers Round 2,00:34:00,00:39:08,Ney,ness,Nahzer,samussansarmure,Ney (ness) vs Nahzer (samus sans armure) - Losers Round 2 - Biscuit Crown #11
Winners Round 3,00:44:05,00:51:10,SR Necroma,banjo,Faetey,minmin,SR Necroma (banjo) vs Faetey (minmin) - Winners Round 3 - Biscuit Crown #11
Winners Round 3,00:54:10,01:00:42,ECR Prime Fortnite Gaming 69,palutena,TBG Sakusaie,littlemac,ECR Prime Fortnite Gaming 69 (palutena) vs TBG Sakusaie (littlemac) - Winners Round 3 - Biscuit Crown #11
Winners Quarter Final,01:04:20,01:14:38,Touheris,marie,Palirex,ike,Touheris (marie) vs Palirex (ike) - Winners Quarter Final - Biscuit Crown #11
Winners Semi-Final,01:18:52,01:27:57,DEH Lao,minmin,SR Necroma,pacman,DEH Lao (minmin) vs SR Necroma (pacman) - Winners Semi-Final - Biscuit Crown #11
Winners Semi-Final,01:29:45,01:39:04,ECR Prime Fortnite Gaming 69,palutena,Palirex,ike,ECR Prime Fortnite Gaming 69 (palutena) vs Palirex (ike) - Winners Semi-Final - Biscuit Crown #11
Winners Final,01:41:48,02:02:42,ECR Prime Fortnite Gaming 69,palutena,SR Necroma,pacman,ECR Prime Fortnite Gaming 69 (palutena) vs SR Necroma (pacman) - Winners Final - Biscuit Crown #11
Losers Quarter-Final,02:05:00,02:11:06,DEH Lao,minmin,Touheris,kingkrool,DEH Lao (minmin) vs Touheris (kingkrool) - Losers Quarter-Final - Biscuit Crown #11
Losers Quarter-Final,02:13:52,02:21:34,Faetey,minmin,Palirex,ike,Faetey (minmin) vs Palirex (ike) - Losers Quarter-Final - Biscuit Crown #11
Losers Semi-Final,02:22:31,02:32:09,DEH Lao,minmin,Palirex,ike,DEH Lao (minmin) vs Palirex (ike) - Losers Semi-Final - Biscuit Crown #11
Losers Final,02:33:55,02:51:10,SR Necroma,pacman,DEH Lao,minmin,SR Necroma (pacman) vs DEH Lao (minmin) - Losers Final - Biscuit Crown #11
Grand Final,02:54:06,03:11:29,ECR Prime Fortnite Gaming 69,palutena,DEH Lao,minmin,ECR Prime Fortnite Gaming 69 (palutena) vs DEH Lao (minmin) - Grand Final - Biscuit Crown #11
Grand Final Reset,03:11:54,03:26:05,ECR Prime Fortnite Gaming 69,palutena,DEH Lao,minmin,ECR Prime Fortnite Gaming 69 (palutena) vs DEH Lao (minmin) - Grand Final Reset - Biscuit Crown #11
