set_name,start,end,player1_name,player1_skin,player2_name,player2_skin,video_title
Winners Round 1,00:03:39,00:12:48,HPIPI Kakugen,banjo,TBG Pom,corrin,HPIPI Kakugen (banjo) vs TBG Pom (corrin) - Winners Round 1 - Biscuit Crown #18
Winners Round 2,00:20:01,00:28:16,DEH Lao,peach,TBG Pom,corrin,DEH Lao (peach) vs TBG Pom (corrin) - Winners Round 2 - Biscuit Crown #18
Winners Semi Final,00:35:20,00:44:20,VGY moufi,sheik,ECR Prime Fortnite Gaming 69,wiifittrainer,VGY moufi (sheik) vs ECR Prime Fortnite Gaming 69 (wiifittrainer) - Winners Semi Final - Biscuit Crown #18
Winners Semi Final,00:48:17,00:58:01,Palirex,random,SR OsReish,random,Palirex (random) vs SR OsReish (random) - Winners Semi Final - Biscuit Crown #18
Winners Final,01:01:05,01:14:22,ECR Prime Fortnite Gaming 69,wiifittrainer,SR Osreish,bowser,ECR Prime Fortnite Gaming 69 (wiifittrainer) vs SR Osreish (bowser) - Winners Final - Biscuit Crown #18
Losers Quarter Final,01:17:06,01:26:31,Palirex,ike,R-B Palouse,rob,Palirex (ike) vs R-B Palouse (rob) - Losers Quarter Final - Biscuit Crown #18
Losers Semi Final,01:29:18,01:42:18,VGY moufi,sheik,R-B Palouse,luigi,VGY moufi (sheik) vs R-B Palouse (luigi) - Losers Semi Final - Biscuit Crown #18
Losers Final,01:44:04,01:57:36,SR OsReish,ridley,VGY moufi,sheik,SR OsReish (ridley) vs VGY moufi (sheik) - Losers Final - Biscuit Crown #18
Grand Final,01:58:46,02:13:50,ECR Prime Fortnite Gaming 69,wiifittrainer,VGY moufi,sheik,ECR Prime Fortnite Gaming 69 (wiifittrainer) vs VGY moufi (sheik) - Grand Final - Biscuit Crown #18
Pitchoune Grand Final,02:32:06,02:42:03,Frero,joker,eChamp ProfPtera,hero,Frero (joker) vs eChamp ProfPtera (hero) - Pitchoune Grand Final - Biscuit Crown #18
Pitchoune Grand Final Reset,02:42:22,02:51:38,Frero,joker,eChamp ProfPtera,hero,Frero (joker) vs eChamp ProfPtera (hero) - Pitchoune Grand Final Reset - Biscuit Crown #18
