set_name,start1,end1,player1_name,player1_skin,player2_name,player2_skin
Winners Round 1,00:05:12,00:12:07,Sinj,link,Food,roidadidou
Winners Round 2,00:19:04,00:24:27,JRJ Tanguysinje,pichu,Frostiz,pikachu
Winners Round 1,00:28:33,00:35:10,Xenoww,dresseurpokemon,TBG Pom,corrin
Winners Round 2,00:37:54,00:44:57,Xenoww,dresseurpokemon,Sinj,link
Winners Quarter Final,00:48:39,01:01:08,SR Necroma,pacman,Touheris,inkling
Winners Quarter Final,01:05:08,01:15:12,ECR Prime Fortnite Gaming 69,palutena,JRJ Tanguysinje,pichu
Winners Quarter Final,01:20:51,01:31:26,DEH Lao,minmin,owdyowdy Owdy btw,corrin
Winners Semi Final,01:38:45,01:52:56,SR Necroma,steve,Sinj,link
Winners Semi Final,01:54:45,02:01:07,ECR Prime Fortnite Gaming 69,palutena,DEH Lao,minmin
Winners Final,02:03:47,02:23:51,Sinj,link,ECR Prime Fortnite Gaming 69,palutena
Losers Semi Final,02:26:41,02:40:57,DEH Lao,minmin,SR Necroma,pacman
Losers Final,02:43:11,02:55:25,Sinj,link,DEH Lao,minmin
Grand Final,02:57:14,03:09:00,Sinj,link,ECR Prime Fortnite Gaming 69,palutena
