set_name,start1,end1,player1_name,player1_skin,player2_name,player2_skin,start2,end2,start3,end3,start4,end4,start5,end5
Winners Round 1,00:03:28,00:07:55,TBG Zratey,wolf,Misa,lucina,,,,,,,,
Winners Round 2,00:13:18,00:26:03,TBG Ney,ness,Cuenty,joker,,,,,,,,
Winners Round 2,00:31:50,00:36:15,ECR Prime Fortnite Gaming 69,luigi,RomainTheCat,dresseurpokemon,,,,,,,,
Winners Round 3,00:43:20,00:48:34,Comtesse de Semor,minmin,SR Necroma,steve,,,,,,,,
Winners Round 3,00:53:57,01:01:20,Xenoww,dresseurpokemon,R-B Palirex,ike,,,,,,,,
Winners Quarter-Final,01:03:56,01:11:18,ECR Prime Fortnite Gaming 69,wiifit,Touheris,miibrawler,,,,,,,,
Winners Quarter-Final,01:14:16,01:22:45,R-B Palouse,mr.game&watch/rob,ARK Rulta,joker,,,,,,,,
Winners Semi-Final,01:27:36,01:38:34,ECR Prime Fortnite Gaming 69,palutena,R-B Palirex,ike,,,,,,,,
Winners Semi-Final,01:42:27,01:50:03,SR Necroma,steve/pac-man,ARK Rulta,rob,,,,,,,,
Winners Final,01:54:21,02:03:00,R-B Palirex,ike,ARK Rulta,rob,,,,,,,,
Losers Quarter-Final,02:13:45,02:24:38,ECR Prime Fortnite Gaming 69,wiifit,DEH|HRT Lao,minmin,,,,,,,,
Losers Quarter-Final,00:00:00,00:06:10,SR Necroma,steve,SR Osreish,bowser,,,,,,,,
Losers Semi-Final,00:08:13,00:21:30,ECR Prime Fortnite Gaming 69,rob/wiifit,SR Osreish,kirby,,,,,,,,
Losers Final,00:23:01,00:33:35,R-B Palirex,random,SR Osreish,random,,,,,,,,
Grand Final,00:36:32,00:47:42,ARK Rulta,rob,SR Osreish,bowser,,,,,,,,
